pneumonoultramicroscopicsilicovolcanoconiosis: vowels=20, consonants=25
hippopotomonstrosesquipedaliophobia: vowels=16, consonants=19
supercalifragilisticexpialidocious: vowels=16, consonants=18
pseudopseudohypoparathyroidism: vowels=12, consonants=18
floccinaucinihilipilification: vowels=14, consonants=15
antidisestablishmentarianism: vowels=11, consonants=17
electroencephalographically: vowels=10, consonants=17
thyroparathyroidectomized: vowels=9, consonants=16
psychoneuroendocrinological: vowels=11, consonants=16
radioimmunoelectrophoresis: vowels=12, consonants=14
hepaticocholangiogastrostomy: vowels=11, consonants=17
spectrophotofluorometrically: vowels=10, consonants=18
psychopharmacotherapeutics: vowels=9, consonants=17
immunoelectrophoretically: vowels=10, consonants=15
psychoneuroimmunology: vowels=8, consonants=13
otorhinolaryngological: vowels=9, consonants=13
incomprehensibilities: vowels=9, consonants=12
uncharacteristically: vowels=7, consonants=13
overintellectualization: vowels=11, consonants=12
counterrevolutionaries: vowels=11, consonants=11
thyrocalcitonin: vowels=5, consonants=10
microelectrophoresis: vowels=8, consonants=12
transubstantiationalist: vowels=9, consonants=14
magnetohydrodynamically: vowels=7, consonants=16
electroencephalograph: vowels=8, consonants=13
psychophysiologically: vowels=6, consonants=15
radioimmunoassayable: vowels=10, consonants=10
counterdemonstrations: vowels=8, consonants=13
thyroparathyroidectomy: vowels=7, consonants=15
immunohistochemically: vowels=8, consonants=13
ultramicroscopically: vowels=7, consonants=13
antitransubstantiationalist: vowels=11, consonants=16
subcompartmentalization: vowels=9, consonants=14
disproportionableness: vowels=8, consonants=13
microspectrophotometries: vowels=9, consonants=15
incomprehensibleness: vowels=7, consonants=13
uncontrollabilities: vowels=8, consonants=11
hypermetropia: vowels=5, consonants=8
bioelectromagnetism: vowels=8, consonants=11
counterproductiveness: vowels=8, consonants=13
multidimensionalities: vowels=10, consonants=11
neuropsychopharmacology: vowels=8, consonants=15
microcrystallographically: vowels=7, consonants=18
psychoneuroimmunological: vowels=10, consonants=14
thyroparathyroidectomies: vowels=9, consonants=15
otorhinolaryngologist: vowels=8, consonants=13
radioimmunoelectrophoretic: vowels=12, consonants=14
ultramicroscopical: vowels=7, consonants=11
immunohistochemical: vowels=8, consonants=11
incomprehensibility: vowels=7, consonants=12
